WORD,FREQUENCY,RANK,PROBABILITY,Constant
house,2850,91,0.0012959234341152527,0.117929032504488
little,2827,92,0.001285465104646954,0.11826278962751977
2,2809,93,0.0012772803250630683,0.11878707023086535
us,2791,94,0.0012690955454791825,0.11929498127504315
people,2773,95,0.0012609107658952967,0.11978652276005318
great,2770,96,0.001259546635964649,0.1209164770526063
down,2747,97,0.0012490883064963504,0.12116156573014598
see,2746,98,0.001248633596519468,0.12236609245890787
made,2728,99,0.0012404488169355822,0.12280443287662264
every,2710,100,0.0012322640373516964,0.12322640373516965
good,2702,101,0.001228626357536636,0.12409126211120024
For,2649,102,0.001204526728761861,0.12286172633370983
say,2644,103,0.0012022531788774484,0.12383207742437718
men,2641,104,0.0012008890489468007,0.12489246109046728
3,2636,105,0.001198615499062388,0.12585462740155076
time,2636,106,0.001198615499062388,0.12705324290061315
king,2635,107,0.0011981607890855055,0.12820320443214908
Israel,2591,108,0.0011781535501026734,0.12724058341108874
d,2566,109,0.00116678580068061,0.12717965227418648
some,2562,110,0.0011649669607730797,0.12814636568503876
It,2558,111,0.0011631481208655495,0.129109441416076
about,2530,112,0.0011504162415128382,0.12884661904943787
4,2519,113,0.0011454144317671303,0.12943183078968573
go,2517,114,0.0011445050118133653,0.13047357134672363
our,2515,115,0.0011435955918596,0.13151349306385401
should,2498,116,0.0011358655222525969,0.13176040058130123
over,2495,117,0.0011345013923219492,0.13273666290166805
hath,2462,118,0.0011194959630848253,0.13210052364400937
may,2435,119,0.0011072187937089966,0.1317590364513706
other,2421,120,0.0011008528540326409,0.1321023424839169
after,2419,121,0.0010999434340788759,0.13309315552354398
hand,2417,122,0.0010990340141251106,0.1340821497232635
these,2400,123,0.0010913039445181075,0.13423038517572722
son,2393,124,0.0010881209746799296,0.13492700086031126
only,2372,125,0.0010785720651653962,0.1348215081456745
7,2368,126,0.0010767532252578661,0.13567090638249113
Mr,2351,127,0.0010690231556508628,0.13576594076765958
such,2347,128,0.0010672043157433325,0.13660215241514656
5,2331,129,0.001059928956113212,0.13673083533860433
6,2316,130,0.0010531083064599738,0.1369040798397966
went,2303,131,0.0010471970767605007,0.1371828170556256
even,2292,132,0.0010421952670147925,0.13756977524595262
must,2280,133,0.001036738747292202,0.13788625338986288
two,2269,134,0.0010317369375464941,0.13825274963123022
much,2269,135,0.0010317369375464941,0.1392844865687767
against,2255,136,0.0010253709978701386,0.13945045571033884
t,2228,137,0.0010130938284943097,0.13879385450372042
children,2223,138,0.001010820278609897,0.1394931984481658
9,2222,139,0.0010103655686330144,0.140440814039989
own,2220,140,0.0010094561486792494,0.1413238608150949
8,2207,141,0.0010035449189797763,0.14149983357614845
Then,2171,142,0.0009871753598120047,0.14017890109330466
can,2166,143,0.000984901809927592,0.14084095881964567
make,2166,144,0.000984901809927592,0.14182586062957325
10,2133,145,0.000969896380690468,0.14063497520011786
11,2112,146,0.0009603474711759346,0.14021073079168644
also,2074,147,0.0009430684920543979,0.13863106833199648
again,2028,148,0.0009221518331178008,0.13647847130143453
land,2021,149,0.000918968863279623,0.1369263606286638
O,1994,150,0.0009066916939037943,0.13600375408556914
away,1987,151,0.0009035087240656165,0.1364298173339081
12,1979,152,0.0008998710442505561,0.13678039872608452
thing,1967,153,0.0008944145245279656,0.13684542225277874
things,1953,154,0.00088804858485161,0.13675948206714794
might,1938,155,0.0008812279351983718,0.13659032995574763
well,1927,156,0.0008762261254526638,0.13669127557061556
13,1916,157,0.0008712243157069558,0.13678221756599207
way,1914,158,0.0008703148957531907,0.13750975352900413
old,1911,159,0.000868950765822543,0.13816317176578435
let,1905,160,0.0008662225059612478,0.13859560095379964
14,1874,161,0.000852126496677889,0.13719236596514012
yet,1867,162,0.0008489435268397111,0.1375288513480332
how,1858,163,0.0008448511370477682,0.13771073533878622
Mrs,1853,164,0.0008425775871633554,0.13818272429479028
first,1846,165,0.0008393946173251777,0.13850011185865432
15,1803,166,0.0008198420883192282,0.1360937866609919
never,1765,167,0.0008025631091976915,0.13402803923601447
16,1699,168,0.0007725522507234436,0.12978877812153852
himself,1697,169,0.0007716428307696785,0.13040763840007566
long,1690,170,0.0007684598609315007,0.13063817635835512
saying,1685,171,0.0007661863110470879,0.13101785918905204
You,1675,172,0.0007616392112782625,0.13100194433986115
father,1673,173,0.0007607297913244974,0.13160625389913805
give,1669,174,0.0007589109514169672,0.1320505055465523
shalt,1665,175,0.000757092111509437,0.13249111951415146
think,1655,176,0.0007525450117406116,0.13244792206634765
What,1647,177,0.0007489073319255512,0.13255659775082257
She,1620,178,0.0007366301625497225,0.13112016893385062
Lord,1620,179,0.0007366301625497225,0.13185679909640033
because,1619,180,0.00073617545257284,0.1325115814631112
being,1618,181,0.0007357207425959574,0.1331654544098683
ever,1617,182,0.0007352660326190749,0.13381841793667162
saw,1615,183,0.0007343566126653098,0.13438726011775168
18,1607,184,0.0007307189328502494,0.1344522836444459
has,1603,185,0.0007289000929427193,0.13484651719440308
In,1586,186,0.000721170023335716,0.13413762434044318
heard,1585,187,0.0007207153133588335,0.13477376359810186
To,1564,188,0.0007111664038443001,0.13369928392272842
They,1559,189,0.0007088928539598873,0.1339807493984187
those,1557,190,0.0007079834340061222,0.1345168524611632
off,1552,191,0.0007057098841217094,0.13479058786724651
take,1552,192,0.0007057098841217094,0.1354962977513682
place,1545,193,0.0007025269142835317,0.1355876944567216
without,1530,194,0.0006957062646302935,0.13496701533827693
put,1528,195,0.0006947968446765284,0.13548538471192303
19,1523,196,0.0006925232947921156,0.13573456577925466
earth,1521,197,0.0006916138748383506,0.13624793334315508
many,1520,198,0.000691159164861468,0.13684951464257067
17,1513,199,0.0006879761950232902,0.13690726280963475
though,1498,200,0.0006811555453700521,0.13623110907401043
through,1482,201,0.0006738801857399313,0.1354499173337262
name,1481,202,0.0006734254757630488,0.13603194610413585
heart,1481,203,0.0006734254757630488,0.1367053715798989
20,1475,204,0.0006706972159017536,0.13682223204395771
nor,1466,205,0.0006666048261098107,0.1366539893525112
too,1461,206,0.0006643312762253979,0.13685224290243198
where,1460,207,0.0006638765662485154,0.13742244921344268
most,1457,208,0.0006625124363178678,0.1378025867541165
A,1456,209,0.0006620577263409852,0.1383700648052659
So,1453,210,0.0006606935964103375,0.13874565524617088
21,1451,211,0.0006597841764565725,0.1392144612323368
head,1450,212,0.0006593294664796899,0.13977784689369427
here,1441,213,0.000655237076687747,0.1395654973344901
22,1435,214,0.0006525088168264517,0.13963688680086067
eyes,1417,215,0.000644324037242566,0.1385296680071517
That,1410,216,0.0006411410674043881,0.13848647055934782
life,1380,217,0.0006274997680979118,0.13616744967724687
whom,1345,218,0.0006115849189070227,0.13332551232173095
thought,1339,219,0.0006088566590457275,0.13333960833101433
nothing,1339,220,0.0006088566590457275,0.13394846499006005
among,1336,221,0.0006074925291150798,0.13425584893443265
done,1317,222,0.0005988530395543114,0.13294537478105714
last,1305,223,0.0005933965198317209,0.13232742392247376
sea,1288,224,0.0005856664502247176,0.13118928485033676
word,1286,225,0.0005847570302709526,0.13157033181096434
